Estado_CVE,Municipio_CVE,Municipio,centroid_lat,centroid_lon,Pertenece
01,002,Asientos,22.126737287049878,-102.04560498874841,True
01,011,San Francisco de los Romo,22.033109722820605,-102.22839691214136,True
01,007,Rincón de Romos,22.26723215265075,-102.34080233441551,True
01,008,San José de Gracia,22.146884791799007,-102.52544573174683,True
01,005,Jesús María,21.93228162949794,-102.44593226438727,True
01,009,Tepezalá,22.237026268618493,-102.19275398077008,True
01,001,Aguascalientes,21.81153656837183,-102.29537568989763,True
01,006,Pabellón de Arteaga,22.104189966019597,-102.30250171716719,True
01,010,El Llano,21.92231417970868,-102.03531575655414,True
01,003,Calvillo,21.900986458994716,-102.70524936762908,True
01,004,Cosío,22.360776255540358,-102.29654151480696,True
02,005,Playas de Rosarito,32.25269503458288,-116.89095105528166,True
02,003,Tecate,32.44071583949925,-116.26903759150544,True
02,004,Tijuana,32.40397450047182,-116.81929822460512,True
02,002,Mexicali,31.74254702321927,-115.16701519342362,True
02,001,Ensenada,30.036727535624962,-114.95761088785893,True
03,008,Los Cabos,23.27686530693051,-109.75332189034263,True
03,009,Loreto,25.95378291269229,-111.44961850097376,True
03,003,La Paz,24.190101874517758,-110.66335762893517,True
03,001,Comondú,25.49149465446693,-111.82016060234183,True
03,002,Mulegé,27.286014815507645,-113.23073833092721,True
04,007,Palizada,18.274099995660997,-91.97398521183354,True
04,002,Campeche,19.616590767983418,-90.26749885460308,True
04,010,Calakmul,18.402802590178077,-89.66155640062254,True
04,003,Carmen,18.524019363442445,-91.483324674805,True
04,004,Champotón,19.13445395919428,-90.4993042439148,True
04,011,Candelaria,18.09896200744575,-90.71643997778374,True
04,001,Calkiní,20.38356681102829,-90.21743040371958,True
04,008,Tenabo,19.969420524147804,-90.23280524391554,True
04,009,Escárcega,18.550787445278278,-90.47443932348125,True
04,006,Hopelchén,19.473936098009986,-89.60955480679131,True
04,005,Hecelchakán,20.124393704618054,-90.13530295792893,True
05,035,Torreón,25.170177139864045,-103.24897744588218,True
05,022,Nava,28.496390625650655,-100.62065218121386,True
05,020,Múzquiz,28.402868726378298,-101.90047494195342,True
05,010,Frontera,26.94771484429659,-101.52819689927315,True
05,026,Progreso,27.42141891748429,-101.02150658052223,True
05,009,Francisco I. Madero,26.319886903786198,-103.1810014270686,True
05,033,San Pedro,26.084015221317713,-102.71808224240384,True
05,012,Guerrero,28.09723911719892,-100.39392988028877,True
05,017,Matamoros,25.559596684138537,-103.21470625927836,True
05,001,Abasolo,27.12235790223657,-101.24569896436267,True
05,038,Zaragoza,28.81190978168328,-101.39507144496626,True
05,016,Lamadrid,27.150543630521277,-101.9139086847515,True
05,031,San Buenaventura,27.83996544233401,-101.96886528382801,True
05,029,Sacramento,26.939748824747017,-101.75640043565109,True
05,013,Hidalgo,27.839436970183485,-100.0502456925699,True
05,036,Viesca,25.221758851843635,-102.92510558422727,True
05,021,Nadadores,27.227290693180972,-101.76557152451984,True
05,025,Piedras Negras,28.77931049628366,-100.61388261037499,True
05,011,General Cepeda,25.521091717994125,-101.55107548585121,True
05,008,Escobedo,27.306007213694432,-101.27953292451056,True
05,024,Parras,25.503710642143457,-102.11445477633455,True
05,006,Castaños,26.586114863149366,-101.38688776301431,True
05,023,Ocampo,27.965686366519776,-102.89292152104272,True
05,019,Morelos,28.327889485215806,-101.08307915150637,True
05,028,Sabinas,27.92302845347917,-101.14301737626403,True
05,002,Acuña,29.432532515769868,-102.01013239599051,True
05,003,Allende,28.27881449393065,-100.91530995514421,True
05,005,Candela,26.85240029900522,-100.79917415654778,True
